今日日期,2024-02-16
• 創新發展： 參與數據科學領域的前沿專案，挑戰和不斷拓展您的技能和知識。
• 團隊協作： 與跨功能團隊合作，共同解決業務挑戰，實現數據驅動的決策。
• 成就感與專業成長： 在這個快節奏的環境中，您的工作將被重視，並為您的專業發展提供獨特的機會。

▍Responsibility

1. 營運場景創新：在廣告或遊戲產業營運場景中，提供創新的數據科學解決方案，協助推動業務增長和效益提升。

2. 數據驅動業務實踐：建構數位化產品和工具，實施數據驅動的業務實踐，促進業務智能化發展。

3. 內部合作與問題識別：與公司內部利益相關者緊密合作，識別和分析業務問題和機會，提供數據支持的決策建議。

4. AinekoX 產品優化：設計、評估和驗證改進 AinekoX 產品的數據科學模型，提高平台的效能和用戶體驗。

5. 定量和定性建模：進行對業務動態、用戶行為等方面的定量和定性建模，提供深入見解和改進方向。","年薪900,000~1,800,000元"
數碼虛擬人科技有限公司,【AIGC】Machine Learning (資深)機器學習科學家(人臉影像),"三、有1年以上電腦視覺研發經驗；
四、熟悉python、C/C++ 程式語言，有良好的編碼習慣；
五、具備良好思維能力、自主學習能力和獨立解決問題的能力
六、樂於從事有助於商務研發工作，能跟3D美術設計師、遊戲引擎工程師緊密合作並達成公司目標
七",待遇面議
立達信集團_立信電子科技有限公司,AI演算法工程師-機器學習類,"1. 能實作數據分析，將感測器收集數據進行預測、分群及分類等分析。
2. 能夠獨立進行ETL等相關作業含：資料清洗、建檔
3. 能夠實作各回歸及分類機器學習模型：ex：SVM、LightGBM、XGBoost
4. 能夠實作統計方法：ex：",待遇面議
城邦媒體控股集團_城邦文化事業股份有限公司,演算法工程師(TOC),"1.進行演算法設計，使程式設計人員使用更方便。
2.對現有演算法進行分析、檢測與改良。
3.針對現有模型或系統提出相對優化的方法。
4.應用機器學習演算法於內容、行為、最佳化搜尋與資料探勘等相關技術的分析。
5.進行輿情分析、文字探勘、關鍵字擷取",待遇面議
仁寶電腦工業股份有限公司,PA1469 機器學習專家工程師/高級工程師(內湖),"1. 負責開發和訓練人工智能模型，這包括數據收集、特徵提取、模型設計和優化
2. 機器學習，統計建模，深度學習（自然語言/圖像），優化算法（OR），數值模擬...等
3. 實際應用的模型/算法構建
4. 執行探索性數據分析的高級能力和統計工作知識","月薪36,000~60,000元"
同方投資有限公司,AI工程師,"●工作內容
・規劃資料的收集 / 生成策略，並協助資料的收集與生成。
・透過統計或機器學習、深度學習等方法，產出合適的資料分析模型。
・數據工程的自動化、監控與維運。

●工作環境
・組織扁平，跨領域溝通是日常。
・重視個人成長，也有定期的技術與",待遇面議
統一資訊股份有限公司,數據工程師Data Engineer,"6. 數據系統囊括雲端與地端技術。
7. 其他主管交辦事項。

【經驗需求】 
1. 具備兩年以上數據系統開發與維運管理經驗。
2. 具備兩年以上使用Python和數據庫管理（SQL和no-SQL）的經驗。
3. 具備大數據系統維運和機器學習工具（",待遇面議
域動行銷股份有限公司,【產品處】RD技術開發總監,"工程（DE）和數據科學（DS）領域。
 
Preferred Qualifications：
1.          有廣告產業相關經驗尤佳
2.          出色的溝通和協調能力，能夠與多部門有效合作。
 
我們的公司文化：
在域動行銷，我們",待遇面議
凸版蓋特資訊股份有限公司,Python 後端工程師,"# Job Description

## 工作內容

### 描述

- 開發手機串接API
- 與機器學習工程師合作、討論、開發
- 行政人員後台畫面、功能
- 程式部署、文件撰寫

### Technical Stack

- Jira,","月薪60,000~100,000元"
英屬開曼群島商萬里雲互聯股份有限公司台灣分公司,雲端解決方案架構師 Cloud Solution Architect (Presales),"以上或同等機器學習工程師實作經驗
一年以上DevOp工程師實作經驗
熟悉restful 架構(Django, flask, falcon等)
具備FSI或半導體相關客戶服務經驗尤佳",待遇面議
夏酷科技股份有限公司,Business Intelligence Analyst 商業分析師,"【工作內容】
- 設計、定制儀表板，並為客戶提供分析洞察。
- 構建新的工具和改進現有工具，以增強數據團隊的內部工具箱。
- 進行關於尖端數據科學技術、方法、工具和應用場景的研究。
- 與數據科學家、項目經理、產品經理、數據工程師、網頁開發人員等",待遇面議
國泰金控_國泰金融控股股份有限公司,"實習 - 資料科學分析師 Data Scientist R&D Intern - 人工智慧科技科 (數數發中心, DDT)_I00015974","技解決實際的商業問題；
-	建立快速且高效率的架構：與資料工程師合作進行 AI 應用服務解決方案的架構設計與開發；
-	配合執行基於上述任務目標的相關工作。
-	我們發展中的技術包含但不限於，檢索增強生成（Retrieval-Augmented",時薪200元
國泰金控_國泰金融控股股份有限公司,"資料科學分析師 Data Scientist - 人工智慧科技 (數數發中心, DDT)_I00014622","結合業務場景解決實際的商業問題；
- 架構設計開發：與資料工程師合作進行 AI 應用服務解決方案的架構設計與開發。

## 我們發展中的技術應用包含但不限於

- 檢索增強生成（Retrieval-Augmented Generation, RAG",待遇面議
網威智慧科技股份有限公司,AI大數據分析師,"工作內容：
1.彙整、分析與定期產出各類型的監測資料或報告 。
2.數據預處理、特徵工程、模型選擇/融合、模型訓練/測試、數據問題分析及解決、模型評估的程式開發。
3.機器學習、深度學習或其他相關演算法開發
4.數據與機器學習模型可視化處","年薪500,000元以上"
中國信託商業銀行股份有限公司,科技金融_數據分析師,"1. 負責需求分析與流程規劃，洞察潛在關鍵應用或數據，並運用內外部數據進行前期探索分析及策略建議。
2. 負責梳理並規劃機器學習研發資料庫架構，建立數據品質流程管理與維護計畫，掌握數據產品策略及生命週期。
3. 能將數據應用產品轉化為需求文件、系",待遇面議
中國信託商業銀行股份有限公司,科技金融_資料科學家/深度學習演算法工程師(熟電腦視覺/OCR/GNN),"1. 進行強化學習研發解決金融業場景問題
2. 應用電腦視覺經驗完成行內專案: 定義問題範圍、最適合的深度學習做法及評估優化方法
3. 協助內部產品經理針對未來的專案分析研發潛在問題
4. 了解相關創新研究的理論並結合至專案中
5. 與IT/架構",待遇面議
立達信集團_立信電子科技有限公司,研發演算法工程師,"【技術開發】
1. 深度學習、機器學習相關開發與應用
2. 影像處理算法開發
3. 資料處理與AI驗証
4. 技術文件撰寫
5. 其他主管交辦事項

【項目管理】
1. 研發項目開發時程管控
2. 推動項目之技術測試、管理及問題追蹤
3. 技術資",待遇面議
拓樸龍科技股份有限公司,產品開發工程師,"【工作內容】
1. 平台系統各項功能設計開發
2. 後端API設計開發
3. 後台系統設計開發
4. 規格文件進行開發，需與前端工程人員配合
5. 需要部分Type Script/html 修改能力

【工作條件】
1. 需有2-4年經驗以上C#","年薪650,000元以上"
遊戲橘子數位科技股份有限公司,大數據高級工程師,"1. 透過Hadoop、Greenplum等資料庫系統執行各遊戲資料建置及串接工作
2. 日常數據異常監控及回補，為資料流程進行維護及優化
3. 協助資料分析師、機器學習工程師等上游需求數據之產出
4. 內部infra相關工具之開發及維護、後端應",待遇面議
立達信集團_立信電子科技有限公司,影像演算法工程師,"1.深度學習開發與應用(物件偵測、行為偵測)
2.機器學習相關應用
3.Opencv、Dlib影像處理算法開發
4.輕量級深度學習算法並嵌入各系統平台
5.資料處理與AI驗証",待遇面議
干城數碼有限公司,資料科學家 Data Scientist,"這份職位將參與知名消費電子品牌數據分析部門專案，與多位資料科學家、資料工程師合作，為企業打造數據加值的解決方案。

我們團隊利用多元的量化分析工具，曾推動多個具有影響力的專案，如「產品銷量預測、零件需求預測、產能規劃最佳化」，應用到的方法包括：",待遇面議
國泰金控_國泰金融控股股份有限公司,"雲端技術專案管理師- 雲端數據發展 (數數發中心, DDT)_I00015377","【工作內容】
1.    推動集團數據上雲或數據部內數據相關專案之策略規劃、環境建置，並協調跨公司、跨職能團隊資源，促成專案落地
2.  負責資料工程開發或資料分析相關需求之專案規劃、執行、進度追蹤、風險控管及資源協調，並與資料團隊密切合作，共同",待遇面議
博弘雲端科技股份有限公司,DATA_資料分析師,"【工作內容】
1. 將概念性想法設計規劃為可執行的解決方案
2. 大數據專案的規劃，數據接入、清洗、建模與可視化的設計
3. 與機器學習工程師、雲端架構師、PM密切合作共同合作完成專案,供客戶高質量的雲端數據相關服務
4. 負責協助客戶整合、設計",待遇面議
台灣庫卡股份有限公司,機器人應用工程師(無經驗可),"➤我們正在擴充部門，尋找充滿激情和創造力的應用工程師加入我們的團隊。如果你對於機器人充滿熱情，那麼這裡正是你的舞台！

▶▶工作內容(職責)◀◀
1.	確認並依照專案範圍、功能等完成設備交付和安裝及調試。
2.	依照專案及合約承攬內容與客戶協調相","月薪32,000~80,000元"
超鉞科技股份有限公司,AI工程師,"工作職責及能力要求：
- 依據需求整合機器學習平台(例如 TensorFlow、CoreML) 。
- 設計實驗以提高模型預測準確性 。深度學習演算法研究與設計，
- 熟悉深度神經網路的常用模型（CNN、RCNN、VGGNet、ResNet、","月薪40,000元以上"
裕富數位資融股份有限公司,裕隆集團關係企業-資料科學家,"1.業務端需求訪談、資訊蒐集
2.資料初步探勘、分析企劃
3.針對資料進行資料處理、統計分析、前瞻模型預測
4.資料視覺化儀表板開發
5.協助分析儀表板與平台分析功能上線測試
6.資料分析及簡報製作",待遇面議
全科科技股份有限公司,機器學習應用工程師,"工作內容：
將機器學習應用移植到Edge AI SoC或MCU上。包含
- 依照需求開發、調整、訓練模型
- 熟悉Tensorflow、ONNX、或其他相關框架
- 熟悉Python以及C/C++
- 熟悉影像處理方法與OpenCV與協作廠商溝通",待遇面議
艾奈科技有限公司,MLOps Engineer,"進一步推動 MLOps 的最佳實踐。

▍Responsibility

1. 將離線模型數據轉化為真正的機器學習開發系統，確保模型能夠順利部署和運行。

2. 機器學習應用中引入軟體工程的嚴謹性和最佳實踐，包括 CI/CD、自動化等原則。

3.","年薪1,000,000~1,800,000元"
數碼虛擬人科技有限公司,【AIGC】Generative AI Enginee AI工程師(影像生成),"DALL-E2、Stable Diffusion、Codex），並對這些模型的能力和限制有深入的了解。

4.對以下任一技能熟悉：深度學習框架、NLP-語境理解和話題追蹤；NLG-摘要、提示工程、指令調整、RLHF、聊天機器人構建、視覺提問和回答/字幕、",待遇面議
萬豐人力資源管理顧問有限公司,"J- CTO <協作機器人資歷優先> / 台北, 國際機器人公司","國際協作機器人公司, 需求一名跨國際團隊溝通與管理之 CTO
主要帶領AI, 數據, 影像視覺, 軟體, 硬體與韌體, 並偕同代工廠進行協作機器人產品優化、問題排除與新技術導入與驗證服務; 與歐洲AI數據科學家及台灣軟硬韌體團隊共同打造創新機器人",待遇面議
法商伊索曼有限公司台灣分公司,機構設計研發工程師,"果您對上述項目有興趣且充滿動力，誠摯歡迎您的加入，讓我們一同開發優秀的醫療器材產品。

┃工作內容
• 該職位主要負責機器人手臂的機構設計和開發。
• 配合系統工程師、醫療器材研發工程師及醫療器材法規人員等執行設計和開發的工作，確保符合相關規範和要",待遇面議
Aptly Technology Taiwan._台灣適宜科技有限公司,MS Open AI工程師,"職位描述：
我們正在尋找一位經驗豐富的MS Open AI工程師加入團隊。候選人將負責規劃和實施資料收集和生成的策略，並運用統計分析、機器學習和深度學習方面的專業知識去開發合適的資料分析模型。此外，還將參與自動化、監控和維護數據工程過程。

主要",待遇面議
台泥企業團_臺泥資訊股份有限公司,儲能數據分析工程師,"4. 機器學習、深度學習或其他相關演算法開發。
5. 由數據角度協助儲能系統設計與建置，優化儲能系統效能。
6. 其他主管交辦事項。",待遇面議
台泥企業團_臺泥資訊股份有限公司,儲能數據分析工程師,"4. 機器學習、深度學習或其他相關演算法開發。
5. 由數據角度協助儲能系統設計與建置，優化儲能系統效能。
6. 其他主管交辦事項。",待遇面議
英屬開曼群島商萬里雲互聯股份有限公司台灣分公司,雲端架構師 Cloud Architect,作為 CloudMile 的雲端架構師，您將在開發和整合不同的雲端架構方面扮演重要的角色，包含應用程式開發、身份識別和權限管理、網路和數據管理等。您將需要與台灣的跨部門團隊一起合作，包含管理團隊、行銷、雲端工程師、解決方案架構師和機器學習工程師等,待遇面議
台新金控_台新國際商業銀行股份有限公司,〔AI〕AI暨開發工程師(台北),"加入我們，開啟未來科技之門！

 【關於我們】
我們是一個充滿熱情和創新力的團隊，致力於將最酷炫的AI技術、機器學習和大數據分析帶入金融領域，打造出一個既智能又高效的金融生態系統！
我們渴望探索、追求卓越，如果你對技術充滿熱誠，對創新充滿渴望，",待遇面議
聚智網有限公司,BI 及資料分析工程師（可遠端工作）,"本公司主要以RPA數據中台、機器人流程自動化 (Robotic Process Automation, RPA)相關領域應用為主 ：

BI及資料分析工程師

需精熟POWER BI使用及應用，熟悉DAX及SQL

1. Power BI專案之資",待遇面議
振興發科技有限公司,人工智慧工程師,"參與專案系統之人工智慧演算法(影像辨識、資料數據分析、語意分析)設計及程式撰寫，
a. 資訊、數學相關科系畢業為佳。
b. 瞭解 Python 或 R 程式開發能力。
c. 瞭解 機器學習演算法。
d. 願意一起學習","月薪36,000~55,000元"
國泰金控_國泰金融控股股份有限公司,"資料科學分析師 Data Scientist-集團徵才-(數數發中心,DDT)","[主要任務]
1. 機器學習、深度學習或統計分析模型的實作開發，包含數據資料清洗、特徵工程及探索、模型建置與調參。
2. 配合數據技術發展目標，研究與開發可落地實用之新興數據技術，並協助提升金控整體數據技術運用能力


[必要條件]
1. 熟悉",待遇面議
優式機器人股份有限公司,Deep Learning/Machine Learning AI Developer,"我們是來自台灣的新創公司－優式機器人，本公司致力於提供服務型機器人解決方案，期許讓服務型機器人走進每個人的日常生活。

我們正在尋找有熱忱的AI工程師，你將持續探索新技術，在敏捷開發的環境中研發產品，並且持續進行創新服務的技術開發，與團隊一同持續",待遇面議
數位無限軟體股份有限公司,全端工程師【遠端】,"加入數位無限行列，創造出屬於自己的舞台。

數位無限 InfinitiesSoft Solutions 是台灣領先的軟體服務商，有跨雲、跨平台開發整合專利，專門為機器學習/深度學習設計和開發基礎設施協作、編排、管理和自助服務平台。

公司旗艦產品",待遇面議
木刻思股份有限公司,資料工程師 / Junior Data Engineer,"【工作內容】

使用 python、SQL 等工具建置符合客戶分析需求的 Data Pipeline
參與專案產品的設計與開發（e.g., 推薦系統、客戶行為分析、銷售預測、影像辨識 ...）
製作分析與報表工具（e.g. powerBI )
撰寫必要交接文件

【必要技能】

熟練 python 
熟練 SQL 語法
會常用 linux 指令
會基礎 git 指令且了解 git 概念
有統計學概念
【加分技能】

使用 Machine learning & Deep Learning 的分析/建模經驗 ( 極大加分 )
動態網頁爬蟲經驗, 例如 selenium ( 大加分 )
AWS 、GCP 、Azure 或其他雲端平台使用或開發經驗
Hadoop / Spark 等叢集系統 (cluster system) 使用經驗
Git Flow / GitHub Flow / 多人開發協作經驗
使用 R language 或其他統計語言的分析經驗
Dockerize 經驗
Web相關 ( Django、fastapi 等) 開發經驗

【薪資範圍】

Junior 年薪: NTD 50-120 萬 (含 performance & contribution獎金)
Senior 年薪: NTD 120-200 萬 (含 performance &  contribution獎金)",待遇面議
上頂醫學影像科技股份有限公司,軟體醫材研發工程師,"【工作內容】開發醫學影像分析演算法，或人工智慧機器學習演算法
【工作範圍】 
• 開發磁振影像(MRI)資料分析演算法
• 開發人工智慧機器學習演算法
• 撰寫技術相關文件
• 分析並解決使用者之問題與需求",待遇面議
樂學網科技股份有限公司,總管理室 數據探勘工程師,"【工作內容】
1、負責資料收集、自動化資料清理、數據問題分析及解決
2、訓練/微調 AI 模型
3、將生成式AI技術應用於實際解決方案

【擅長工具】
1、Python
2、Jupyter Notebook, Google Colab
3、OpenAI / Azure OpenAI API","月薪35,000~40,000元"
國泰金控_國泰金融控股股份有限公司,"資料科學分析師 Data Science Analyst-商業分析-(數數發中心, DDT)_I00014666","[主要任務]
1. 機器學習、深度學習或統計分析模型的實作開發，包含數據資料清洗、特徵工程及探索、模型建置與調參。
2. 配合數據技術發展目標，研究與開發可落地實用之新興數據技術，並協助提升金控整體數據技術運用能力。

[團隊文化]
- 團隊特色",待遇面議
聖洋科技股份有限公司,【cacaFly】雲端智能中心-實習生 (Intern),"個充滿活力且擁有超棒福利的環境的一員，在雲端領域獲得成就感和能見度。

【工作內容】　
1. 記錄客戶討論內容，以確保溝通流暢且正確。
2. 學習並整理雲端相關知識與產品功能，協助製作簡報以提供團隊參考。
3. 和工程師合作，參與建置簡單的雲端環境",時薪190元
線上探索科技有限公司,研究工程師（Research Engineer）-生成AI,"，分布式集群、多核SMP和GPU）。

最低資格要求：
1.資訊工程或相關技術領域的大學以上學歷，或同等實際經驗。
2.在機器學習、深度學習和/或自然語言處理方面的研究經驗(自學亦可)。
3.Python 開發經驗，以及使用如 PyTorch,",待遇面議
台灣立訊精密有限公司,機器人軟件工程師,"1.負責掃地機器人相關產品軟韌體開發
2.評估客戶需求可行性
3.軟件架構設計與重構",待遇面議
樂約科技股份有限公司,演算法工程師 Algorithm Engineer,"任職要求：
1. 熟悉至少以下一種演算法：目標追蹤演算法、目標運動模型、軌跡生成演算法、深度學習模型預測演算法  
2. 熟悉C/C++、Linux、CMake、Git等開發環境和工具


• Responsible for developing",待遇面議
數位無限軟體股份有限公司,後端工程師【遠端】,"加入數位無限行列，創造出屬於自己的舞台。

數位無限 InfinitiesSoft Solutions 是台灣領先的軟體服務商，有跨雲、跨平台開發整合專利，專門為機器學習/深度學習設計和開發基礎設施協作、編排、管理和自助服務平台。
公司旗艦產品AI",待遇面議
皇基股份有限公司,自動化開發工程師,"】
Python語言、C#、C++、T-SQL。
▹熟悉影像處理、電腦視覺、圖樣識別與機器學習領域者。
▹具備YoloV4、Keras、整合AI平台、OpenCV開發經驗者。
▹具備SolVision或 VisionPro Deep",待遇面議
國泰世華商業銀行股份有限公司_人力資源部,"【數位驅動】資料科學工程師(數數發中心,DDT)","1.數據介接、清洗、處理與數據模型的程式開發
2.網路爬蟲、數據工程 API 程式撰寫
3.與數據分析師合作，進行機器學習、深度學習與統計分析模型的維運化程式開發
